: A
避 避一避 补 补一补
避 避一避 猜 猜一猜
避 避一避 尝 尝一尝
避 避一避 等 等一等
避 避一避 读 读一读
避 避一避 堆 堆一堆
避 避一避 改 改一改
避 避一避 挂 挂一挂
避 避一避 逛 逛一逛
避 避一避 换 换一换
避 避一避 聚 聚一聚
避 避一避 开 开一开
避 避一避 看 看一看
避 避一避 练 练一练
避 避一避 摸 摸一摸
避 避一避 念 念一念
避 避一避 捏 捏一捏
避 避一避 拍 拍一拍
避 避一避 敲 敲一敲
避 避一避 瞧 瞧一瞧
避 避一避 让 让一让
避 避一避 试 试一试
避 避一避 说 说一说
避 避一避 松 松一松
避 避一避 谈 谈一谈
避 避一避 推 推一推
避 避一避 望 望一望
避 避一避 问 问一问
避 避一避 想 想一想
避 避一避 笑 笑一笑
补 补一补 猜 猜一猜
补 补一补 尝 尝一尝
补 补一补 等 等一等
补 补一补 读 读一读
补 补一补 堆 堆一堆
补 补一补 改 改一改
补 补一补 挂 挂一挂
补 补一补 逛 逛一逛
补 补一补 换 换一换
补 补一补 聚 聚一聚
补 补一补 开 开一开
补 补一补 看 看一看
补 补一补 练 练一练
补 补一补 摸 摸一摸
补 补一补 念 念一念
补 补一补 捏 捏一捏
补 补一补 拍 拍一拍
补 补一补 敲 敲一敲
补 补一补 瞧 瞧一瞧
补 补一补 让 让一让
补 补一补 试 试一试
补 补一补 说 说一说
补 补一补 松 松一松
补 补一补 谈 谈一谈
补 补一补 推 推一推
补 补一补 望 望一望
补 补一补 问 问一问
补 补一补 想 想一想
补 补一补 笑 笑一笑
猜 猜一猜 尝 尝一尝
猜 猜一猜 等 等一等
猜 猜一猜 读 读一读
猜 猜一猜 堆 堆一堆
猜 猜一猜 改 改一改
猜 猜一猜 挂 挂一挂
猜 猜一猜 逛 逛一逛
猜 猜一猜 换 换一换
猜 猜一猜 聚 聚一聚
猜 猜一猜 开 开一开
猜 猜一猜 看 看一看
猜 猜一猜 练 练一练
猜 猜一猜 摸 摸一摸
猜 猜一猜 念 念一念
猜 猜一猜 捏 捏一捏
猜 猜一猜 拍 拍一拍
猜 猜一猜 敲 敲一敲
猜 猜一猜 瞧 瞧一瞧
猜 猜一猜 让 让一让
猜 猜一猜 试 试一试
猜 猜一猜 说 说一说
猜 猜一猜 松 松一松
猜 猜一猜 谈 谈一谈
